???? ????? ??( 20220804 ?? ),,,,,,,
"?? : ????, ??? : ??(? / ? / ?)",,,,,,,
?? : 2014? 07 ? ~ 2014? 12?,,,,,,,
??,??,???,????,????(?),???(kWh),????(?),??????(?/kWh)
201407,????,???,???,"3,420 ","214,121,436 ","27,069,454,940 ",126.4 
201407,????,???,? ?,"2,850 ","1,770,593 ","98,533,848 ",55.7 
201407,????,???,???,"15,769 ","40,369,312 ","6,089,822,209 ",150.9 
201407,????,???,???,"66,717 ","28,833,074 ","3,268,851,203 ",113.4 
201407,????,???,??,"101,676 ","292,017,035 ","37,231,695,311 ",127.5 
201407,????,???,???,"4,711 ","281,385 ","35,384,794 ",125.8 
201407,????,???,???,26 ,"199,902 ","33,126,904 ",165.7 
201407,????,???,???,"6,331 ","5,358,922 ","251,734,786 ",47 
201407,????,???,???,594 ,"17,791,019 ","2,307,207,658 ",129.7 
201407,????,???,? ?,"1,602 ","567,771 ","30,293,701 ",53.4 
201407,????,???,???,"2,501 ","3,034,562 ","494,314,941 ",162.9 
201407,????,???,???,"16,215 ","2,458,252 ","266,224,469 ",108.3 
201407,????,???,??,"31,980 ","29,691,813 ","3,418,287,253 ",115.1 
201407,????,???,???,"14,531 ","1,400,233 ","177,762,431 ",127 
201407,????,???,???,148 ,"5,853,609 ","759,159,387 ",129.7 
201407,????,???,???,"15,137 ","7,819,307 ","440,358,196 ",56.3 
201407,????,???,???,"2,073 ","76,334,699 ","9,675,050,912 ",126.7 
201407,????,???,? ?,"10,745 ","3,780,303 ","215,252,200 ",56.9 
201407,????,???,???,"23,434 ","47,693,323 ","7,197,651,622 ",150.9 
201407,????,???,???,"112,607 ","34,300,234 ","4,001,363,715 ",116.7 
201407,????,???,??,"178,675 ","177,181,708 ","22,466,598,463 ",126.8 
201407,????,???,???,"6,202 ","385,072 ","51,289,241 ",133.2 
201407,????,???,???,57 ,"468,906 ","73,094,216 ",155.9 
201407,????,???,???,"10,586 ","12,183,369 ","569,344,446 ",46.7 
201407,????,???,???,897 ,"34,373,288 ","4,889,878,808 ",142.3 
201407,????,???,? ?,"2,024 ","710,509 ","41,174,582 ",58 
201407,????,???,???,"5,351 ","9,463,955 ","1,449,691,624 ",153.2 
201407,????,???,???,"31,603 ","5,675,917 ","632,721,308 ",111.5 
201407,????,???,??,"56,720 ","63,261,016 ","7,707,194,225 ",121.8 
201407,????,???,???,"26,263 ","5,594,717 ","693,317,572 ",123.9 
201407,????,???,???,405 ,"9,581,628 ","1,323,805,049 ",138.2 
201407,????,???,???,"10,959 ","9,041,682 ","447,368,464 ",49.5 
201407,????,???,???,"6,259 ","626,105,516 ","78,247,588,639 ",125 
201407,????,???,? ?,"39,824 ","9,401,374 ","543,230,533 ",57.8 
201407,????,???,???,"55,204 ","160,124,896 ","23,783,845,076 ",148.5 
201407,????,???,???,"311,508 ","106,934,337 ","12,703,734,395 ",118.8 
201407,????,???,??,"450,422 ","926,784,150 ","117,742,889,728 ",127 
201407,????,???,???,"7,716 ","606,769 ","74,786,931 ",123.3 
201407,????,???,???,71 ,"933,787 ","135,860,321 ",145.5 
201407,????,???,???,"3,289 ","5,273,742 ","265,356,796 ",50.3 
201407,????,???,???,"1,148 ","41,212,782 ","5,227,968,137 ",126.9 
201407,????,???,? ?,"2,529 ","1,284,248 ","71,951,918 ",56 
201407,????,???,???,"10,346 ","21,431,614 ","3,312,284,872 ",154.6 
201407,????,???,???,"52,314 ","13,706,563 ","1,605,530,451 ",117.1 
201407,????,???,??,"77,413 ","84,449,505 ","10,693,739,426 ",126.6 
201407,????,???,???,"5,668 ","271,002 ","35,585,555 ",131.3 
201407,????,???,???,46 ,"288,730 ","47,837,035 ",165.7 
201407,????,???,???,"10,824 ","4,061,401 ","218,869,701 ",53.9 
201407,????,???,???,894 ,"4,102,478 ","1,062,480,236 ",259 
201407,????,???,? ?,"2,724 ","1,152,271 ","62,930,015 ",54.6 
201407,????,???,???,"4,157 ","5,985,733 ","937,614,913 ",156.6 
201407,????,???,???,"24,838 ","4,048,064 ","450,515,311 ",111.3 
201407,????,???,??,"49,151 ","19,909,679 ","2,815,832,766 ",141.4 
201407,????,???,???,"4,357 ","680,755 ","84,285,436 ",123.8 
201407,????,???,???,50 ,"412,144 ","65,329,177 ",158.5 
201407,????,???,???,"8,368 ","4,329,926 ","206,900,320 ",47.8 
201407,????,???,???,"2,219 ","194,719,196 ","23,610,140,256 ",121.3 
201407,????,???,? ?,"3,286 ","1,017,994 ","57,664,805 ",56.6 
201407,????,???,???,"5,287 ","8,957,777 ","1,377,916,810 ",153.8 
201407,????,???,???,"26,744 ","6,467,314 ","734,261,833 ",113.5 
201407,????,???,??,"50,311 ","216,585,106 ","26,136,498,637 ",120.7 
201407,????,???,???,"3,689 ","503,722 ","58,714,975 ",116.6 
201407,????,???,???,33 ,"254,018 ","41,787,916 ",164.5 
201407,????,???,???,"7,733 ","3,774,741 ","191,180,120 ",50.6 
201407,????,???,???,726 ,"3,657,022 ","590,444,062 ",161.5 
201407,????,???,? ?,"1,725 ","828,972 ","44,676,380 ",53.9 
201407,????,???,???,"3,535 ","4,522,876 ","724,770,482 ",160.2 
201407,????,???,???,"21,128 ","3,681,664 ","404,282,571 ",109.8 
201407,????,???,??,"38,569 ","17,223,015 ","2,055,856,506 ",119.4 
201407,????,???,???,"2,659 ","414,060 ","51,821,634 ",125.2 
201407,????,???,???,50 ,"303,590 ","51,229,887 ",168.7 
201407,????,???,???,"10,002 ","7,910,416 ","347,683,409 ",44 
201407,????,???,???,956 ,"6,139,197 ","846,651,499 ",137.9 
201407,????,???,? ?,"2,267 ","1,205,643 ","65,264,203 ",54.1 
201407,????,???,???,"4,005 ","5,476,413 ","871,160,831 ",159.1 
201407,????,???,???,"27,412 ","4,063,763 ","442,626,464 ",108.9 
201407,????,???,??,"47,351 ","25,513,082 ","2,676,437,927 ",104.9 
201408,????,???,???,"8,523 ","903,209 ","104,703,613 ",115.9 
201408,????,???,???,110 ,"1,481,411 ","221,742,599 ",149.7 
201408,????,???,???,"5,388 ","5,562,882 ","270,110,864 ",48.6 
201408,????,???,???,"1,496 ","95,335,466 ","12,454,525,540 ",130.6 
201408,????,???,? ?,"4,041 ","2,421,672 ","133,515,899 ",55.1 
201408,????,???,???,"16,551 ","43,091,042 ","6,249,748,914 ",145 
201408,????,???,???,"75,376 ","30,449,572 ","4,400,390,594 ",144.5 
201408,????,???,??,"111,485 ","179,245,254 ","23,834,738,023 ",133 
201408,????,???,???,"5,768 ","588,778 ","68,982,620 ",117.2 
201408,????,???,???,53 ,"649,634 ","93,895,695 ",144.5 
201408,????,???,???,"10,187 ","5,357,916 ","273,912,750 ",51.1 
201408,????,???,???,809 ,"10,431,283 ","1,369,587,584 ",131.3 
201408,????,???,? ?,"2,650 ","921,334 ","51,506,906 ",55.9 
201408,????,???,???,"4,937 ","8,087,019 ","1,222,085,703 ",151.1 
201408,????,???,???,"27,708 ","6,402,262 ","772,385,690 ",120.6 
201408,????,???,??,"52,112 ","32,438,226 ","3,852,356,948 ",118.8 
201408,????,???,???,"5,654 ","477,762 ","55,359,389 ",115.9 
201408,????,???,???,45 ,"426,710 ","65,029,922 ",152.4 
201408,????,???,???,"7,404 ","7,626,238 ","371,870,455 ",48.8 
201408,????,???,???,899 ,"26,529,819 ","3,777,236,210 ",142.4 
201408,????,???,? ?,"2,774 ","933,570 ","51,804,153 ",55.5 
201408,????,???,???,"4,632 ","7,975,376 ","1,204,584,064 ",151 
201408,????,???,???,"27,762 ","5,960,945 ","749,429,973 ",125.7 
201408,????,???,??,"49,170 ","49,930,420 ","6,275,314,166 ",125.7 
201408,????,???,???,"12,311 ","2,776,372 ","333,176,987 ",120 
201408,????,???,???,194 ,"3,865,763 ","555,848,250 ",143.8 
201408,????,???,???,"8,565 ","8,437,814 ","428,662,696 ",50.8 
201408,????,???,???,"9,021 ","248,317,650 ","35,048,978,003 ",141.1 
201408,????,???,? ?,"7,256 ","2,432,315 ","142,502,529 ",58.6 
201408,????,???,???,"27,882 ","82,786,115 ","11,940,886,611 ",144.2 
201408,????,???,???,"120,555 ","59,354,589 ","7,913,279,697 ",133.3 
201408,????,???,??,"185,784 ","407,970,618 ","56,363,334,773 ",138.2 
201408,????,???,???,"4,151 ","259,666 ","31,785,466 ",122.4 
201408,????,???,???,42 ,"364,502 ","53,565,968 ",147 
201408,????,???,???,"9,663 ","6,174,623 ","293,603,841 ",47.6 
201408,????,???,???,835 ,"1,588,521 ","221,038,446 ",139.1 
201408,????,???,? ?,"2,103 ","826,493 ","45,582,044 ",55.2 
201408,????,???,???,"4,700 ","8,657,660 ","1,277,263,962 ",147.5 
201408,????,???,???,"25,643 ","4,838,034 ","630,984,647 ",130.4 
201408,????,???,??,"47,137 ","22,709,499 ","2,553,824,374 ",112.5 
201408,????,???,???,"8,179 ","867,289 ","105,028,626 ",121.1 
201408,????,???,???,62 ,"1,080,263 ","143,428,797 ",132.8 
201408,????,???,???,"20,073 ","8,458,455 ","446,180,940 ",52.7 
201408,????,???,???,"1,371 ","35,216,106 ","4,742,991,350 ",134.7 
201408,????,???,? ?,"4,786 ","1,443,648 ","81,627,842 ",56.5 
201408,????,???,???,"8,927 ","15,212,870 ","2,256,517,676 ",148.3 
201408,????,???,???,"49,262 ","11,625,311 ","1,486,238,389 ",127.8 
201408,????,???,??,"92,660 ","73,903,942 ","9,262,013,620 ",125.3 
201408,????,???,???,"7,551 ","740,147 ","90,909,092 ",122.8 
201408,????,???,???,63 ,"657,192 ","105,452,020 ",160.5 
201408,????,???,???,"6,458 ","4,621,459 ","226,496,189 ",49 
201408,????,???,???,"1,203 ","63,817,799 ","8,310,040,363 ",130.2 
201408,????,???,? ?,"2,962 ","1,135,524 ","64,748,882 ",57 
201408,????,???,???,"8,955 ","19,112,969 ","2,796,359,220 ",146.3 
201408,????,???,???,"42,774 ","12,646,912 ","1,583,869,522 ",125.2 
201408,????,???,??,"69,966 ","102,732,002 ","13,177,875,288 ",128.3 
201408,????,???,???,"3,081 ","309,211 ","39,251,552 ",126.9 
201408,????,???,???,42 ,"234,618 ","41,678,849 ",177.6 
201408,????,???,???,"10,106 ","5,998,733 ","304,460,254 ",50.8 
201408,????,???,???,852 ,"5,143,585 ","776,335,624 ",150.9 
201408,????,???,? ?,"2,022 ","965,862 ","52,761,520 ",54.6 
201408,????,???,???,"3,505 ","5,221,039 ","817,693,949 ",156.6 
201408,????,???,???,"19,274 ","3,438,256 ","423,378,471 ",123.1 
201408,????,???,??,"38,882 ","21,311,304 ","2,455,560,219 ",115.2 
201408,????,???,???,"9,165 ","1,618,165 ","193,655,630 ",119.7 
201408,????,???,???,101 ,"2,506,451 ","346,048,127 ",138.1 
201408,????,???,???,"3,725 ","3,085,369 ","150,676,205 ",48.8 
201408,????,???,???,"3,439 ","192,584,441 ","24,453,311,042 ",127 
201408,????,???,? ?,"2,845 ","1,661,720 ","90,947,213 ",54.7 
201408,????,???,???,"15,857 ","45,695,108 ","6,620,655,818 ",144.9 
201408,????,???,???,"66,963 ","32,422,838 ","4,074,117,590 ",125.7 
201408,????,???,??,"102,095 ","279,574,092 ","35,929,411,625 ",128.5 
201408,????,???,???,"4,717 ","308,703 ","35,597,337 ",115.3 
201408,????,???,???,26 ,"183,266 ","31,530,377 ",172 
201408,????,???,???,"6,377 ","6,762,214 ","312,562,525 ",46.2 
201408,????,???,???,593 ,"16,575,700 ","2,126,610,739 ",128.3 
201408,????,???,? ?,"1,602 ","480,372 ","26,066,465 ",54.3 
201408,????,???,???,"2,534 ","3,516,003 ","546,428,159 ",155.4 
201408,????,???,???,"16,257 ","2,806,415 ","341,355,118 ",121.6 
201408,????,???,??,"32,106 ","30,632,673 ","3,420,150,720 ",111.7 
201408,????,???,???,"14,575 ","1,519,679 ","183,900,747 ",121 
201408,????,???,???,148 ,"5,565,748 ","723,360,197 ",130 
201408,????,???,???,"15,196 ","9,922,796 ","527,793,731 ",53.2 
201408,????,???,???,"2,093 ","70,407,260 ","8,889,814,819 ",126.3 
201408,????,???,? ?,"10,720 ","3,426,986 ","196,873,367 ",57.4 
201408,????,???,???,"23,489 ","53,430,419 ","7,801,725,193 ",146 
201408,????,???,???,"112,742 ","39,378,313 ","5,156,004,014 ",130.9 
201408,????,???,??,"178,963 ","183,651,201 ","23,479,472,068 ",127.8 
201408,????,???,???,"6,217 ","417,195 ","51,879,396 ",124.4 
201408,????,???,???,57 ,"393,808 ","94,714,822 ",240.5 
201408,????,???,???,"10,608 ","13,379,945 ","618,389,442 ",46.2 
201408,????,???,???,896 ,"33,157,949 ","4,653,083,462 ",140.3 
201408,????,???,? ?,"2,016 ","666,736 ","39,616,687 ",59.4 
201408,????,???,???,"5,376 ","10,787,547 ","1,585,459,020 ",147 
201408,????,???,???,"31,646 ","6,592,033 ","826,572,374 ",125.4 
201408,????,???,??,"56,816 ","65,395,213 ","7,869,715,203 ",120.3 
201408,????,???,???,"26,284 ","5,797,091 ","697,731,511 ",120.4 
201408,????,???,???,405 ,"8,667,768 ","1,228,565,820 ",141.7 
201408,????,???,???,"11,001 ","9,172,440 ","454,732,416 ",49.6 
201408,????,???,???,"6,269 ","522,649,634 ","65,997,966,749 ",126.3 
201408,????,???,? ?,"39,716 ","8,036,905 ","465,736,416 ",57.9 
201408,????,???,???,"55,201 ","178,654,170 ","25,621,231,353 ",143.4 
201408,????,???,???,"311,535 ","122,013,763 ","16,252,176,691 ",133.2 
201408,????,???,??,"450,411 ","854,991,771 ","110,718,140,956 ",129.5 
201408,????,???,???,"7,718 ","642,975 ","76,546,834 ",119.1 
201408,????,???,???,71 ,"911,200 ","133,367,410 ",146.4 
201408,????,???,???,"3,345 ","7,699,502 ","370,152,677 ",48.1 
201408,????,???,???,"1,150 ","40,358,117 ","4,970,580,553 ",123.2 
201408,????,???,? ?,"2,525 ","1,160,546 ","66,344,942 ",57.2 
201408,????,???,???,"10,390 ","25,490,096 ","3,746,806,359 ",147 
201408,????,???,???,"52,254 ","15,735,544 ","2,087,630,396 ",132.7 
201408,????,???,??,"77,453 ","91,997,980 ","11,451,429,171 ",124.5 
201408,????,???,???,"5,667 ","289,540 ","36,025,045 ",124.4 
201408,????,???,???,46 ,"240,013 ","43,339,372 ",180.6 
201408,????,???,???,"10,921 ","6,237,991 ","311,409,506 ",49.9 
201408,????,???,???,891 ,"3,678,599 ","972,005,687 ",264.2 
201408,????,???,? ?,"2,723 ","1,057,135 ","57,894,507 ",54.8 
201408,????,???,???,"4,179 ","7,091,211 ","1,056,037,961 ",148.9 
201408,????,???,???,"24,894 ","4,642,082 ","584,456,368 ",125.9 
201408,????,???,??,"49,321 ","23,236,571 ","3,061,168,446 ",131.7 
201408,????,???,???,"4,550 ","712,798 ","85,248,533 ",119.6 
201408,????,???,???,50 ,"380,426 ","63,147,178 ",166 
201408,????,???,???,"8,393 ","5,478,794 ","258,299,437 ",47.1 
201408,????,???,???,"2,214 ","152,238,800 ","19,563,474,689 ",128.5 
201408,????,???,? ?,"3,279 ","852,362 ","48,154,288 ",56.5 
201408,????,???,???,"5,286 ","9,996,245 ","1,481,018,636 ",148.2 
201408,????,???,???,"26,774 ","7,361,595 ","940,001,839 ",127.7 
201408,????,???,??,"50,546 ","177,021,020 ","22,439,344,600 ",126.8 
201408,????,???,???,"3,696 ","510,761 ","58,583,877 ",114.7 
201408,????,???,???,33 ,"242,194 ","40,682,097 ",168 
201408,????,???,???,"7,804 ","5,147,277 ","252,397,946 ",49 
201408,????,???,???,724 ,"3,823,285 ","597,698,039 ",156.3 
201408,????,???,? ?,"1,723 ","755,876 ","41,074,750 ",54.3 
201408,????,???,???,"3,536 ","5,254,465 ","804,578,861 ",153.1 
201408,????,???,???,"21,150 ","4,124,956 ","498,658,821 ",120.9 
201408,????,???,??,"38,666 ","19,858,814 ","2,293,674,391 ",115.5 
201408,????,???,???,"2,663 ","452,064 ","53,105,191 ",117.5 
201408,????,???,???,50 ,"275,531 ","48,871,943 ",177.4 
201408,????,???,???,"10,166 ","8,433,136 ","397,953,037 ",47.2 
201408,????,???,???,959 ,"6,035,673 ","829,800,912 ",137.5 
201408,????,???,? ?,"2,265 ","1,099,817 ","59,585,396 ",54.2 
201408,????,???,???,"4,013 ","6,434,645 ","974,648,064 ",151.5 
201408,????,???,???,"27,434 ","4,729,410 ","583,521,422 ",123.4 
201408,????,???,??,"47,550 ","27,460,276 ","2,947,485,965 ",107.3 
201409,????,???,???,"8,602 ","939,614 ","106,897,357 ",113.8 
201409,????,???,???,110 ,"1,517,394 ","196,734,758 ",129.7 
201409,????,???,???,"5,480 ","5,176,527 ","249,329,655 ",48.2 
201409,????,???,???,"1,489 ","93,651,575 ","9,746,014,959 ",104.1 
201409,????,???,? ?,"4,031 ","2,553,402 ","141,125,149 ",55.3 
201409,????,???,???,"16,610 ","37,960,297 ","5,022,177,042 ",132.3 
201409,????,???,???,"75,918 ","28,070,396 ","3,764,762,156 ",134.1 
201409,????,???,??,"112,240 ","169,869,205 ","19,227,041,076 ",113.2 
201409,????,???,???,"5,790 ","589,673 ","67,254,061 ",114.1 
201409,????,???,???,53 ,"580,680 ","80,364,420 ",138.4 
201409,????,???,???,"10,275 ","6,093,460 ","304,584,804 ",50 
201409,????,???,???,808 ,"10,363,828 ","1,157,884,597 ",111.7 
201409,????,???,? ?,"2,647 ","1,103,075 ","61,558,371 ",55.8 
201409,????,???,???,"4,943 ","7,272,395 ","1,012,400,032 ",139.2 
201409,????,???,???,"27,757 ","6,126,256 ","704,358,270 ",115 
201409,????,???,??,"52,273 ","32,129,367 ","3,388,404,555 ",105.5 
201409,????,???,???,"5,655 ","484,801 ","54,998,608 ",113.4 
201409,????,???,???,45 ,"425,325 ","58,066,201 ",136.5 
201409,????,???,???,"7,520 ","6,580,684 ","327,785,334 ",49.8 
201409,????,???,???,901 ,"27,262,323 ","3,188,055,567 ",116.9 
201409,????,???,? ?,"2,772 ","1,050,865 ","58,078,945 ",55.3 
201409,????,???,???,"4,628 ","7,282,003 ","1,004,109,239 ",137.9 
201409,????,???,???,"27,770 ","5,673,694 ","679,660,537 ",119.8 
201409,????,???,??,"49,291 ","48,759,695 ","5,370,754,431 ",110.1 
201409,????,???,???,"12,344 ","2,897,063 ","339,272,538 ",117.1 
201409,????,???,???,194 ,"4,052,142 ","480,916,561 ",118.7 
201409,????,???,???,"8,613 ","8,596,003 ","430,689,642 ",50.1 
